geneID	L42	L41	L32	L31	S42	S41	S32	S31
GSCOC_T00003645001	4.721662440197777	4.773457082480735	4.57035185346006	4.466633148776052	1.701400055817534	1.7492903103266155	1.9821981289505712	1.817863152668231
GSCOC_T00003649001	1.5017034136306653	0.6895645650587575	3.092622390022818	3.246732864727374	-3.800283149170731	-5.390541447085101	-5.270591241751126	-5.321687430527085
GSCOC_T00003673001	5.21324495746542	5.498240340144236	6.055900305055966	6.063991590733849	1.8531571973266103	1.9040783922121156	3.209190043849639	3.5517571572196704
GSCOC_T00003699001	3.5764349735618883	3.0078268777598023	3.824117824147998	2.9079750526979744	5.6318720752752185	5.136148735042811	5.812305968598908	5.3821482041671125
GSCOC_T00003703001	3.1859486336257423	3.337621305961227	3.5296016302454505	3.9437841169806336	-0.2533445923475226	-0.746685834924374	0.014814252833088001	-0.7952186104770936
GSCOC_T00003714001	10.385027808755641	10.399993069310419	11.769610097078289	11.768725332202756	5.727843410190005	5.710778526763489	6.178038921696513	6.059312473011441
GSCOC_T00003731001	0.5064784783621706	0.382442999075904	-0.6817106058285292	-2.7427208372402667	2.0161421763662974	2.0756660497931567	1.6129915562320851	1.6841303047538618
GSCOC_T00003758001	4.489375611738442	3.922340284719842	4.042215793365156	3.1926998033568585	5.484971763882421	5.006952686547959	5.356554558681467	4.200834998492511
GSCOC_T00003762001	3.7105449022254637	2.857042490252229	4.852266489685754	4.025463272156897	2.6536711735982204	2.4612070796239736	3.3181185994011826	2.4662155584817964
GSCOC_T00003768001	1.395267877629105	1.8509937216770207	2.3268546982451395	2.7232597539818895	5.594174310945397	5.597431589984791	5.3560288371304425	5.339200839720841
GSCOC_T00003774001	3.703867237042978	3.574562547713099	2.920326077250263	3.3741485545308545	4.763228679679365	4.9189287294207045	5.083661500116454	5.275436766413612
GSCOC_T00003778001	-5.0476758195696245	-5.0438244461139	-5.074027857923949	-2.7427171392557184	2.4026534366335075	2.2019137449862085	2.581162917764786	2.2707657510858206
GSCOC_T00003782001	4.066199190835287	4.131114956541111	3.9566407727111206	4.087643766519715	5.411602446691957	5.633905945010282	4.703883249460849	4.985513115197747
