	AveExpr	Coef	t	P.value	F	F.p.value
GSCOC_T00008874001	4.85124008735129	-0.298385017911863	-0.474509744204762	0.646595333618495	0.225159497345268	0.646595333618495
GSCOC_T00008880001	2.00252973113176	0.201564659200295	0.835018408899292	0.425615711154854	0.697255743200705	0.425615711154854
GSCOC_T00008889001	0.240900108597478	-1.9789352957277	-4.04790704653514	0.00297940531936048	16.3855514573888	0.00297940531936048
GSCOC_T00008891001	2.00337230784347	-1.82109211284434	-8.83218573308723	1.09231757116018e-05	78.0075048237496	1.09231757116018e-05
GSCOC_T00008897001	3.2798078342172	-2.51259223126838	-7.46753040071864	4.12277671224593e-05	55.7640102856571	4.12277671224593e-05
GSCOC_T00008898001	-0.998464184398845	5.09583906224707	6.30707937298099	0.000148556747793036	39.7792502170822	0.000148556747793036
GSCOC_T00008900001	4.19337071750569	0.237823727070488	1.4413084458235	0.18383724959176	2.07737003600214	0.18383724959176
GSCOC_T00008901001	2.506509043587	2.62780905824702	8.46326261743491	1.53785465538599e-05	71.6268141316712	1.53785465538599e-05
GSCOC_T00008903001	4.58112069898974	6.99119804942877	33.2979303592339	1.25445808861144e-10	1108.75216620839	1.25445808861144e-10
GSCOC_T00008904001	5.4051541033349	-0.116081447930016	-0.890083595256627	0.396909171102649	0.792248806544963	0.396909171102649
GSCOC_T00008906001	8.38269123623716	-0.22505912093817	-1.80568125303814	0.104919327717777	3.26048478757338	0.104919327717777
GSCOC_T00008908001	2.15192123512001	2.52524566389134	7.95605284286663	2.51106365563336e-05	63.2987768384861	2.51106365563336e-05
GSCOC_T00008913001	0.00770366087317739	-4.01168217877766	-4.76826040305269	0.001058512641865	22.7363072713202	0.001058512641865
GSCOC_T00008927001	0.250511736270448	0.197917086747753	0.366590023739785	0.722512923771132	0.134388245505536	0.722512923771132
GSCOC_T00008931001	3.30003896900649	0.342591126684045	1.89088531913865	0.0916711908509354	3.57544729013408	0.0916711908509354
GSCOC_T00008933001	5.14482428480399	0.623939307281493	4.02801237084707	0.00306902501905232	16.224883659697	0.00306902501905232
GSCOC_T00008934001	1.75164236689951	-0.0238003808868055	-0.0748496104777196	0.941994473177302	0.00560246418866635	0.941994473177302
GSCOC_T00008935001	5.99319147377927	0.116369826484504	0.868164713085075	0.408168205330057	0.75370996904609	0.408168205330057
GSCOC_T00008937001	0.668181293674146	4.12857713670941	7.33190972580715	4.75183109515912e-05	53.7569002273855	4.75183109515912e-05
GSCOC_T00008946001	1.83716360930123	-0.589350580009911	-2.22654912219305	0.0534019129374945	4.95752099353864	0.0534019129374945
GSCOC_T00008950001	6.20681841915056	2.45508140781641	5.29010744916851	0.000524218175957789	27.9852368237482	0.000524218175957789
GSCOC_T00008951001	5.04350267995377	-0.164831983974651	-1.08560397338222	0.306262712517786	1.17853598702326	0.306262712517786
GSCOC_T00008978001	4.0569779662943	-1.32777486764116	-2.56336276662571	0.0308496272462527	6.570828673323	0.0308496272462527
GSCOC_T00008990001	3.29583150620645	-1.33692728037214	-2.37614437197711	0.0418636930253233	5.6460620764785	0.0418636930253233
