geneID	logFC	AveExpr	t	P.Value	adj.P.Val	B
GSCOC_T00016928001	-2.899816e+00	4.8984212508	-9.807735022	4.663749e-06	4.441983e-05	4.3946281354
GSCOC_T00037379001	-2.899784e+00	7.0033576049	-11.876472941	9.524082e-07	1.480396e-05	5.9966250292
GSCOC_T00012723001	2.899621e+00	3.0075527814	11.782956394	1.017745e-06	1.558594e-05	6.2618600105
GSCOC_T00041532001	-2.898342e+00	4.3226720473	-4.437826392	1.685798e-03	4.313980e-03	-1.8527074463
GSCOC_T00036990001	2.898121e+00	3.4458358305	8.935620345	9.944926e-06	7.492234e-05	3.8279792853
GSCOC_T00031810001	2.897375e+00	-0.2156051189	5.417190928	4.443709e-04	1.441195e-03	0.3447821242
GSCOC_T00041253001	-2.896842e+00	7.2329139154	-9.570925109	5.695536e-06	5.097041e-05	4.0682230706
GSCOC_T00031330001	-2.896237e+00	0.0545497085	-5.988116884	2.173843e-04	8.069457e-04	1.0271795628
GSCOC_T00023964001	2.895815e+00	1.1574072055	5.810044470	2.704148e-04	9.650362e-04	0.7079473452
GSCOC_T00023685001	2.895522e+00	2.2803521948	7.816344901	2.886538e-05	1.662119e-04	2.8831051573
GSCOC_T00017155001	2.893537e+00	0.7919194274	7.005614906	6.741880e-05	3.191920e-04	2.1598837260
GSCOC_T00020449001	-2.891726e+00	5.0514672208	-5.884054068	2.468356e-04	8.947433e-04	0.0860361700
GSCOC_T00027762001	-2.890113e+00	3.5092547072	-4.207436036	2.353958e-03	5.687030e-03	-2.0445505778
GSCOC_T00024594001	2.887696e+00	0.9706021630	7.829622638	2.848326e-05	1.645699e-04	3.0135455423
GSCOC_T00017832001	-2.885878e+00	3.6041384995	-3.347966917	8.722065e-03	1.728304e-02	-3.4357798366
GSCOC_T00018977001	-2.884879e+00	2.6150558260	-8.906401763	1.021111e-05	7.630941e-05	3.8961326440
GSCOC_T00024142001	2.884468e+00	-0.3357548770	4.941435738	8.347006e-04	2.406059e-03	-0.2730616185
GSCOC_T00032569001	-2.884280e+00	1.5995004693	-13.084121536	4.206771e-07	8.995646e-06	7.1269734628
GSCOC_T00000068001	2.883516e+00	-0.7815830339	3.632348629	5.595369e-03	1.180142e-02	-2.1169886419
GSCOC_T00028436001	-2.882720e+00	4.9366135824	-5.217281518	5.768782e-04	1.779882e-03	-0.8121947145
GSCOC_T00032309001	2.881979e+00	4.6035996960	20.165261543	1.017505e-08	1.051816e-06	10.8635575587
GSCOC_T00033390001	-2.881741e+00	2.4547741544	-7.475536760	4.088608e-05	2.187073e-04	2.4640567212
GSCOC_T00014174001	2.881097e+00	1.7965008710	8.503690957	1.480412e-05	1.000229e-04	3.6221293392
GSCOC_T00022149001	-2.880528e+00	4.1165856868	-6.398352971	1.335393e-04	5.498263e-04	0.8995323244
GSCOC_T00028207001	2.880367e+00	2.2672912525	8.746408067	1.181509e-05	8.470821e-05	3.8095888021
GSCOC_T00013962001	2.880223e+00	4.4444730160	7.831848944	2.841973e-05	1.643046e-04	2.5482410120
GSCOC_T00037825001	-2.880172e+00	3.1358851511	-5.631702334	3.379265e-04	1.152011e-03	0.0931286869
GSCOC_T00027642001	2.879114e+00	3.1608738438	11.777052456	1.022033e-06	1.563196e-05	6.2443433352
GSCOC_T00001598001	2.878976e+00	5.0231472015	12.947837307	4.597030e-07	9.420127e-06	6.8973352885
GSCOC_T00018847001	2.878807e+00	-0.4134971424	3.000398150	1.518116e-02	2.779539e-02	-3.1558762812
GSCOC_T00039571001	-2.878664e+00	1.2484181287	-5.830997307	2.635001e-04	9.439685e-04	0.7003952771
GSCOC_T00025880001	-2.878518e+00	6.6427165601	-10.255024265	3.232460e-06	3.439607e-05	4.6722039142
GSCOC_T00022544001	2.877825e+00	2.6810370929	5.659238292	3.264040e-04	1.118860e-03	0.2608561103
GSCOC_T00040873001	2.876541e+00	7.0926158686	8.831513668	1.092987e-05	8.012377e-05	3.3782919913
